entry run subrun event num_rank0_electrons electron1_theta_deg electron1_phi_deg electron2_theta_deg electron2_phi_deg
1 1430 0 8 2 80.2774 -97.6732 99.7226 82.3268
2 1430 0 10 2 119.963 97.2299 60.037 -82.7701
4 1430 0 16 2 88.0806 115.111 91.9194 -64.8887
5 1430 0 20 2 102.171 62.2988 77.829 -117.701
7 1430 0 23 2 111.878 -161.747 68.1221 18.2531
8 1430 0 24 2 96.6068 -16.843 83.3932 163.157
9 1430 0 25 2 88.0534 -54.727 91.9466 125.273
12 1430 0 31 2 60.3513 -69.6732 119.649 110.327
16 1430 0 38 2 106.226 -85.7904 73.7739 94.2096
19 1430 0 41 2 101.621 -78.5079 78.379 101.492
21 1430 0 48 2 104.73 60.4061 75.2701 -119.594
22 1430 0 49 2 67.2093 -4.81198 112.791 175.188
24 1430 0 51 2 81.5811 56.8074 98.4189 -123.193
26 1430 0 53 2 64.5134 -134.95 115.487 45.0498
27 1430 0 55 2 85.8293 -84.275 94.1707 95.725
31 1430 0 62 2 95.7259 112.405 84.2741 -67.5954
33 1430 0 64 2 75.9063 -159.192 104.094 20.8076
34 1430 0 65 2 83.3034 -51.3741 96.6966 128.626
37 1430 0 73 2 87.3767 -133.437 92.6233 46.5631
41 1430 0 78 2 104.859 -163.436 75.1414 16.5636
42 1430 0 80 2 86.5141 116.324 93.4859 -63.6765
43 1430 0 82 2 101.785 -96.1075 78.2147 83.8925
50 1430 0 92 2 71.4634 166.937 108.537 -13.0633
51 1430 0 93 2 83.2701 -92.9745 96.7299 87.0255
55 1430 0 101 2 57.3811 -179.626 122.619 0.373985
58 1430 0 105 2 119.74 -25.8353 60.26 154.165
59 1430 0 106 2 105.224 18.175 74.7762 -161.825
62 1430 0 109 2 67.2515 -115.328 112.749 64.6721
63 1430 0 110 2 91.7186 -91.6939 88.2814 88.3061
64 1430 0 111 2 90.1636 -2.20749 89.8364 177.793
66 1430 0 114 2 73.5658 -120.325 106.434 59.6751
67 1430 0 115 2 92.2793 -49.3121 87.7207 130.688
70 1430 0 120 2 75.9159 -22.7654 104.084 157.235
71 1430 0 121 2 80.4939 134.951 99.5061 -45.0495
73 1430 0 124 2 66.0039 166.547 113.996 -13.4535
75 1430 0 126 2 66.1523 19.8486 113.848 -160.151
78 1430 0 131 2 100.79 -31.026 79.21 148.974
79 1430 0 132 2 62.0475 -76.5051 117.953 103.495
80 1430 0 133 2 83.1806 -104.74 96.8194 75.2604
81 1430 0 138 2 110.486 40.2605 69.5139 -139.74
85 1430 0 149 2 82.0934 25.3096 97.9066 -154.69
87 1430 0 153 2 119.772 10.2794 60.2282 -169.721
88 1430 0 154 2 82.2678 82.5481 97.7322 -97.4519
89 1430 0 155 2 85.3749 100.837 94.6251 -79.163
91 1430 0 158 2 103.864 -129.153 76.1362 50.847
92 1430 0 160 2 68.912 127.063 111.088 -52.9368
93 1430 0 162 2 61.2428 112.754 118.757 -67.2456
98 1430 0 175 2 68.6947 -115.783 111.305 64.2173
103 1430 0 180 2 89.0825 -6.38051 90.9175 173.619
104 1430 0 181 2 113.672 -124.89 66.3281 55.1097
107 1430 0 185 2 72.0733 -123.609 107.927 56.3909
108 1430 0 186 2 112.62 118.7 67.38 -61.3003
109 1430 0 187 2 79.7565 -68.9118 100.244 111.088
