Printing the following information for each pair of Lorentz vectors being added to the stack: momNumber (1 or 2) || threeMom vector Cartesian (x,y,z) || threeMomSpherical (r,theta,phi) || magnitude (of 4 vector) || Energy (MeV/c)
MomNumber: 1 || Cartesian vector: (-9.04741, -9.52304, 50.8141) || Spherical Vector: (52.4844, 0.252965, -2.33059) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (9.04741, 9.52304, -50.8141) || Spherical Vector: (52.4844, 2.88863, 0.811005) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (5.0613, -17.8657, -49.0899) || Spherical Vector: (52.4844, 2.77997, -1.29473) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-5.0613, 17.8657, 49.0899) || Spherical Vector: (52.4844, 0.361626, 1.84686) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (24.0758, -31.9284, -33.9934) || Spherical Vector: (52.4844, 2.27534, -0.924705) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-24.0758, 31.9284, 33.9934) || Spherical Vector: (52.4844, 0.866253, 2.21689) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (43.7989, 15.8803, 24.1679) || Spherical Vector: (52.4844, 1.09226, 0.347831) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-43.7989, -15.8803, -24.1679) || Spherical Vector: (52.4844, 2.04933, -2.79376) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-40.4949, -32.99, 5.14198) || Spherical Vector: (52.4844, 1.47267, -2.45797) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (40.4949, 32.99, -5.14198) || Spherical Vector: (52.4844, 1.66893, 0.683623) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (37.1879, -26.9203, -25.4357) || Spherical Vector: (52.4844, 2.07674, -0.626588) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-37.1879, 26.9203, 25.4357) || Spherical Vector: (52.4844, 1.06485, 2.51501) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-36.3405, -0.832366, 37.8588) || Spherical Vector: (52.4844, 0.76507, -3.11869) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (36.3405, 0.832366, -37.8588) || Spherical Vector: (52.4844, 2.37652, 0.0229006) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (6.90722, 51.2674, -8.86351) || Spherical Vector: (52.4844, 1.74049, 1.43687) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
